제목,본문
명예 택배기사된 10살 댕댕이 경태,동물 학대를 의심받다 뒤늦게 감동적인 사연이 공개된 택배기사가 대한통운 본사로부터 받은 반려견 경태의 선물을 공개했다일 네이트판에 반려견과 함께 하는 택배기사 또 들렀습니다라는 제목의 글이 사진과 함께 올라왔다 택배기사 씨는 본사 측에서 경태에게 선물을 보내줬다며 혼자 보기에는 너무 귀엽고 재미있어서 경태 모습을 공유해 드리고자 이렇게 들렀다고 했다사진에는 한쪽 귀퉁이가 부서진 강아지용 케이크와 대한통운 로고가 박힌 택배 근무복을 입고 인형과 잡동사니 사이에 둘러싸여 있는 경태의 모습이 담겼다 강아지용 케이크에는 명예 택배기사 경태라는 문구가 적혀 있었지만 이는 경태가 부순 것으로 전해졌다씨는 우리 경태 표정에서 아부지가 왜저럴까 하는 듯 하였으나 간식 열심히 흔들어 경태의 억지웃음이 완성됐다 모든 부모님들 존경한다라며 흔한 경태 아부지의 완벽한 주접이었다라고 글을 끝맺었다앞서 한 누리꾼은 택배기사 씨가 강아지를 학대하고 있다며 사진과 함께 글을 올렸다 그는 저녁에 항상 택배 물건들 사이에 강아지 혼자 있는데 너무 위험해 보이고 춥고 누가 해코지할까 봐 걱정된다고 했다이 누리꾼은 강아지 진짜 꼬질꼬질하게 벌벌 떨면서 있다 점심 시간대에 항상 혼자 있고 저녁에 퇴근길에도 보는데 늘 짐칸에 있다라며 바쁜 건 이해하지만 택배 물건들이 넘어질 수도 강아지를 누가 데려갈 수도 있고 그렇지 않느냐고 지적했다누리꾼이 수차례 올린 동물 학대 저격 글에 논란이 커지자 택배기사 씨는 한 온라인 커뮤니티에 서울시 강동구에서 대한통운 택배기사라고 밝히고 반려견 열 살 몰티즈 경태를 소개하며 해명 글을 올렸다씨와 경태의 첫만남은 년 집 앞 주차장 화단에서다 씨는 당시 겨우 숨만 붙어있던 경태를 구조했다 경태는 맞은 것으로 추정되는 타격으로 온몸이 골절되고 털도 빠진 상태였고 돌아다니는 뼛조각 때문에 수술도 몇 차례 했다심장사상충 말기 상태로 당장 죽어도 이상하지 않은 상태였던 경태는 기적적으로 살아났다 이를 계기로 반려동물에 큰 애정이 없었던 씨의 인생도 크게 바뀌었다고 씨는 밝혔다경태는 과거의 기억 때문인지 씨가 보이지 않으면 시간이든 시간이든 아무것도 먹지도 바라는 것 없이 짖고 울기만 한다고 했다 택배 업무 특성상 육체적 노동과 함께 늘 시간에 쫓기다 보니 경태를 돌볼 시간이 씨에게는 없었다씨는 고육지책으로 조수석에 둬도 불안해하는 경태를 배송할 때만 짐칸에 두기로 했다 씨는 조수석이나 운전석 뒷공간에 편안한 자리를 만들어 줘도 경태에게는 무용지물이라 그냥 저와 경태가 만족할 수 있는 방식으로 지내고 있었다고 했다그러면서 동물 학대라고 지적한 누리꾼에 대해 걱정하고 염려하는 부분 어떤 마음인지 충분히 이해한다면서 걱정하는 부분을 조금만 지켜봐 달라 차후에 개선해야 할 부분이 있다면 고치겠다고 했다이후 씨는 지난 일 경태와 저의 안위는 마음 놓으셔도 된다며 제가 경태를 짐칸에 두고 배송을 하면서 아이를 살펴볼 수 있는 시간이 초에서 분 내외였는데 저희 사연 때문인지 왔다 갔다 할 때 경태를 지켜주시는 분들이 종종 계셔서 참 감사하면서도 죄송하다고 했다누리꾼들은 택배기사 씨와 경태의 근황에 응원을 보내고 있다 누리꾼들은 경태 너무 귀여워 숨이 안 쉬어진다 경태야 앞으로 사료육포 길만 걷자 경태 아버님도 돈길만 걸으세요 등의 반응을 보였다 
[댓글부탁해] 울집댕댕이 실시간 자는중 포착,얘 지금 이러다가이렇게 잔다 
댕댕이와 함께하는 펫 호텔 소개,댕댕이  냥냥이 함께 투숙 할 수 있는 반려동물 전용 펫 호텔 소개 합니다출처  
국방부 저번엔 고먐미 데려가더니 이제는 댕댕이까지,선넘네이거 동물학대 아냐
[강아지] 스티커로 댕댕이에게 장난 치는중,겸댕이 포메에게 스티커로 장난을 친다면 어떤 반응일까빙글빙글 귀엽다 귀여워깨발랄 푸들 뽀뽀와 소심쟁이 포메 설기의 일상 보러 오세요 
[드루와] 난 회피형 반대로 조카 직진걸이라 문제임..,사람 너무 좋아하고 가까워지려하고 애정 표현 ㅈㄴ 많이 해서 상대방이 좀 부담스러워함 남친들도 처음에는 인간 댕댕이라고 다 ㅈㄴ 좋아하다가 나중엔 너무 자기에게 의존한다고 지친다더라 ㅅㅂ 지금 남친도 슬슬 지친다고 말 꺼내서 속상해 죽겠음 나같은 집착형은 어떻게 고치냐 해결 방법도 안 줌 난  ㅠㅠ 
난 울집 댕댕이 이름 앙글이라 지었는데,백현이라고 짓기엔 좀 그렇잖아 얘가 똥도 싸고 내가 씻겨줘야하는데 양심에 찔리고 
[댓글부탁해] mbti과몰입 4대장의 과한과몰입 특징을 알아보자,인프피세상 고통 오로지 지 혼자 다 짊어진 평생 우울하고 불행한 영원한 피해자이자 영원히 불쌍한 우울증환자 매우 불안정하고 위태로우며 도움이 필요해보이지만 혼자 삭히고 언제나 구슬피 울며 슬퍼하는 저 세상 뒷편의 찐따 내 불행과 우울은 그 누구도 따라할 수 없으며 나만이 가질 수 있는 특권과도 같음 나보다 불쌍한 사람 없다엔프피세상 만사 다 뒤로 하고 언제나 머갈 꽃밭처럼 굴지만 사실 속은 여리고 눈치 빠름 하지만 바보를 자처하고 모른 척 함 앞에선 실실 웃고 모지리같지만 사실 속은 누구보다 감성적이고 예민함 하지만 이 사실은 나만 앎 굳이 남들이 알아줄 필요 없어 너넨 내 댕댕이 같은 모습만 보면 돼인팁공감능력 아예없고 오로지 논리와 이성에만 집착하는 소시오 혹은 사이코패스 형 로봇인간 이딴걸로 왜 슬퍼함 이딴게 대체 뭐가 재밌음 진짜 이해안간다 별 걸로 다 쳐우네 짜증나게뭐뭐는 이러이러하니까 얘가 잘한건 아닌데 왜 얘에 이입해서 쳐 움 수준떨어진다엔팁이 구역의 미친년은 나야 나랑 눈 마주치면 너 뒤져ㅁㅊ뇬앙눈 감아 눈 떠나만 보면 사람들 다 뒤집어져 내가 너무 특이하대 나같은 뇬 처음봤대 어디 나보다 난 년 있을까 내가봐도 난 정말노잼인간들이랑은 다른 듯얘네가 다 그렇단게 아니고얘네 중 과몰입 ㅈㄴ심각한 수준으로하는 애들 특징 써봄ㅋㅋ
댕댕이 수료증, 
댕댕이 떼쓰는거에 지친 아부지,출처  갓잇코리아 
로제 댕댕이 입양했구나,로제 인스타 스토리에 올라온 댕댕이멍스타그램도 생김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그리고 댕댕이 임보해주시던 분 계정으로올라왔던 게시물입양전 이름은 미르고 믹스 남자애기임이제 개월 정도 됐는데 벌써 이래ㅋㅋㅋㅋㅋㅋㅋ폭풍업뎃해준 행크 사진들로제가 행크라고 지은건가 이름도 귀여워ㅠㅠㅠ 로제랑 닮은 행꾸 
사촌언니네 강아지 한 달 동안 맡아서 봤었거든?,사촌언니네 강아지 한 달 동안 잠깐 맡아서 봤었는데그때 찍었던 영상들 혼자 다시보다가 넘나 귀여워서 같이 힐링했으면 하는 바람으로 강아지 채널 하나 만들었어요일상에 지치거나 또 피로할때 한 번 봐봐  ㅎㅎㅎㅎ 많이 귀여워 말투 할미인거들킨 것 같은데대 중반 인생에 현타도 오고 코로나 땜에 집에 박혀있어서 외롭기도 하고누워서 인스타 남의 댕댕이랑 고양이 보면서 웃는게 낙인지라귀여운게 최고다강아지가 최고다한 번씩 미소 짓구가들할미가 말하는데 근강이 최고다 근강열쩡도 근강이 있어야 하는 기라쿨럭 
댕댕이 굳이 내 뒤에와서 뒤돌고 잠,귀여워  
골차 재현 웹드 나오는데 댕댕이 같음ㅋㅋㅋ,골든차일드 재현이가딩고 웹드라마 썸타는 편의점에 주연으로 출연하고 있음여기서 완전 멍뭉이 같은 연하남으로 나오는데재현이랑 캐릭터 완전 찰떡임좋아하는 누나 쳐다보면서 기다리는 재현 나오는 장면마다 강아지 귀랑 꼬리 나오는데 그게 너무 잘어울리는 것귀여워ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ웹드라마 속에서재현이 맡은 연하남 역이 애교가 걍 생활임ㅋㅋㅋ그래서 애교 부리는거 많이 볼 수 있다좀 오글거리긴 하는데돌직구 직진 연하남 면모도 볼 수 있음ㅎㅎ연하남 좋아하는 친구들아 다들 재현 웹드를 보쉐이역할도 너무 찰떡이고 비주얼도 좋고 생각보다 연기도 자연스러워서 볼만함ㅎㅎ무엇보다 연하남 역을 너무 잘살림ㅋㅋㅋㅋㅋ관심있는 사람들은 한번씩 봐바 나름 재밌음 
간식에 독이 들었다는걸 알게된 댕댕이 반응..?,출처  갓잇코리아 
럽리 지애 협찬들어와서 댕댕이랑 사진 찍는데ㅋㅋㅋ, 협찬때문에지애네 집 반려견이랑 사진 찍는 지애서로 한번을 안 쳐다보는 중 ㅋㅋ댕댕이랑 사진 찍기 참 힘든 지애뭔지는 모르겠지만둘 사이에서 느껴지는 어색함알고보니 집안에서도 댕댕이한테무시당하는 지애 ㅋㅋ일편단심동생보다반려견을 좋아하는 언니분노물론 장난임참고로 사진속 댕댕이인 콩이는애완 상품관련 광고도 찍는다는 나름 유명견오죽하면 지애가 자기보다 미용에돈 더 많이 쓸거라고 할정도 
토리댕댕이 거울셀카,ㄴ는 ㄱ끔거울앞에서 사진을 찍는다뿌잉토리우리집 막내 토리입니당너무너무 귀엽죠팔불출누나
구멍에 빠진 댕댕이 자식을 구해준 보배인, 
[강아지] 겁이 너무 많은 댕댕이의 노즈워크시간!,겁이 많아도 너무 많은 포메 설기노즈워크 장난감이 무서운 댕댕이 설기의 노즈워크 시간 
집 가기 싫은 댕댕이의 국룰,안가 못가 걷기 싫어 끌고가 안아줘 몰라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ댕이들 정말 집 돌아갈때 이러나요ㅎㅎㅎ출처  사진 검색 
웹드에서 댕댕이 그 자체인 골든차일드 재현,딩고뮤직 웹드라마 썸타는 편의점에 출연중인골든차일드 재현여기서 진짜 그냥 댕댕이 그 자체임 ㅠ저 귀랑 꼬리 팬들이 그려넣은거 아니고웹드에서 재현이 등장할 때 마다거의 시그니쳐처럼 나옴 ㅋㅋㅋㅋㅋㅋ술취한 연기도 너무 구ㅣ여움 ㅠㅠㅠ 
나무속에 갇힌 댕댕이,얼마전 산에 오르다가 우연히 포착한 나무구멍속에귀여운 갈색 댕댕이도 보이네요 그 조합이 재밌어서 찰칵 
내본진 댕댕이 입양받았는데,분양자가 조카 입털고다녀서 별로였음
기꺼이 아깽이의 보모가 되어준 댕댕이,오웅 살갑게 서로 붙어있는거봐 ㅠㅠ정말 기특한 댕댕이다 ㅠㅠ출처 사진검색 
치명적 볼살 때문에 피곤한 댕댕이들,아악 ㅠㅠ근데 정말 강아지들 볼쌀 저리 몰캉한거임난 몰랐네출처 사진검색 
정말 우리집 댕댕이 맞나요?,아고깔꼼하니 개운하겠다 진짜역시 사람이나 댕댕이나 미용실 가야함ㅎㅎ출처 사진검색 
애인이 강아지를 잘 못키우면 어떨 것 같아?,안녕하세요 댕댕이 뿐 아니라 동물을 사랑하는 사람입니다제목과 같이 질문을 하고싶어요 저는 너무 불편하거든요그치만 제가 키우는 아이도 아니고 결혼한 것도 아닌 연인관계이기때문에 어떻게 해야할 지 또 이에 대해 다른 사람들의 생각도 궁금합니다 시작남자친구는 리트리버 한마리를 키우고 있어요 강아지는 아직 년이 안됐지만 일어서면 성인 가슴높이에 올정도로 몸집이 꽤 큽니다 강아지 이름은 망고라고 할게요현재 남친은 친구와 둘이서 연식이 오래 된약 년주택에서 살고 있습니다 방거실 겸 복도 화장실 입니다 현관 문을 열면 대략 의 거실이 있는데 사실 나머지 방들의 문으로 이동하기 위해 있는 최소한의 복도 개념이에요망고는 거실 및 복도에서 지내고 있었습니다 바닥장판은 망고가 다 뜯어놔서 곰팡이 핀 시멘트바닥이 드러나있었고 벽지도 군데군데 뜯겨 곰팡이 갉아먹을 수 있는 것들은 다 엉망징창이더라구요 성견이 되는 과정에 이갈이를 하느라 그럴 수 있다고 생각해요남친집에 놀러갔다가 화장실을 가려고 방문을 열면 망고는 계속 올라타려고 반갑니다 그리고 방문을 닫으면 한없이 낑낑대요 진짜 같이 있는데 신경쓰이고 안쓰러워서 기분이 안좋았습니다정말 말도 안되게 좁은 공간에서 대형견이 지내는 것도 충격이지만 더 싫었던 것은 현실적으로 집 크기를 늘릴 수 없다면 산책이라도 잘 해줘야 하는데 산책을 거의 하지 않았습니다 남친을 네달정도 봤는데 산책한 날이 손에 꼽아요 번도 안됩니다물론 저에게 말하지않고 다녀오는 날도 있겠지만그러길 바라지만 항상 어딜간다 누구랑 논다 등의 보고를 매일 해주거든요남친의 생활패턴은 다음과 같아요일주일에 일은 아침에 나가서 저녁시간대에 퇴근합니다퇴근하면 저를 만나거나 친구를 만나서 저녁을 먹고 술을 마셔요 그리고 노래방을 가거나 게임을 합니다 누워서 휴대폰하거나 통화하다 잠듭니다외박도 종종했습니다 저뿐 아니라 친구집에서 다같이 술먹고 자고 온다거나 아니면 아침이 거의 다 돼서 들어간다거나같이 사는 룸메 친구도 집에 거의 안들어와서 잘 없어요그리고 저렇게 오래 집을 비우면 망고 밥도 밥이지만 배변패드 문제도 심각해요ㅜ 정말 거실이 좁고 창문도 없어서 악취가 너무 심한데 대형견 대소변을 방치하면 망고는 어떻게 지내요남친 집에서 잤던 하루는 처음 간 날이었는데 제가 배변패드 다 갈아줬습니다 똥도 직접치우고요 남친은 깨워도 늦잠을 그렇게 잡니다 그냥 기본적으로 게을러요 저 같아도 하루종일 환기도 안되는 좁은 공간에서 밥그릇은 화장실 바로 옆에 있다면 먹기 싫을 거 같은데 남친은 망고가 자율급식이라고 안먹어도 크게 신경도 안씁니다망고가 너무 불쌍했습니다 불쌍합니다그래서 어느 날 기회가 생겨서 얘기한 적이 있어요남친친구들과 같이 남친집에서 논 적이 있었는데 다른 분이 강아지가 큰데 저기는 너무 좁지않냐 불쌍하다며 장난을 치길래 저도 그때 말을 덧붙인적이 있어요 산책도 안시켜준다고그랬더니 내 자식이고 누구보다 내가 더 망고를 생각한다며 기분나빠하더라구요 그래서 그 뒤로는 언급하기가 좀 그렇더라구요마무리사실 한 생명을 키우려면 그 마음가짐과 사랑도 중요하지만경제적인 능력과 키울 수 있는 환경 이 외에 더 많은 책임감과 성실함이 필요하다고 생각해요그래서 저는 강아지 고양이 너무너무너무 사랑하지만 키울 엄두도 못내고 있습니다그래서 이런 남친의 행동들이 화가나요그치만 둘의 관계에서 일어난 문제점이 아니라서이걸로 싸우거나 헤어지는게 맞는건지도 판단이 잘 안서네요여러분들이라면 어떨 것 같으세요내 애인이 반려동물을 잘 못 키울 때두서없지만 긴 글 읽어주셔서 감사합니다답답해서 올려봐요
침대를 못 올라가고 있는 주인을 본 댕댕이,출처  갓잇코리아 
우리집 댕댕이 왜 이러는 걸까요?,ㅋㅋㅋㅋㅋㅋㅋ출처 사진검색 
[이것좀봐줘] 힐링되는카톡프사 (친구네댕댕이),포실포실 귀떼기 ㅠㅠㅠㅠㅠㅠㅠㅠ다이소 양말ㅋㅋㅋ할무니 술먹는데 꾸벅꾸벅애기 이쁘게 봐주세요
뉴이스트 아론이 입양한 댕댕이,얼마전에 뉴이스트 아론이  주인한테 버려진 강아지 입양했거든오늘  사진 올라온거 보니까  표정 행복해 보여 댕댕이 행복해라이 추운날 주차장에서 생활했던거 맴찢 전주인 진짜 나쁘다 털빠진다고 버린거 실화냐 세상마상아론이 또 다른 반려견 노아 사진도 놓고 간다 
요즘 부쩍 혼자 있고 싶은 댕댕이들,짠하게 슬프고 공허한 눈빛ㅎㅎ출처 사진검색 
[프로듀스2] 점점 댕댕이가 되어가는 연습생,어제뜬 비하인드 무진성캠에지성씌 주먹만한 얼굴을 가진 졸리운 댕댕이 등장ㅋㅋㅋ 심기가 불편해 보이는 이유는뭐죸ㅋㅋㅋㅋ지성씌  옹성우에게 애착가방이란댕댕이   졸려죽껙는데 이형이 무승소리지눈꺼풀이 심각하게 무거우심ㅋㅋㅋㅋㅋㅋㅋㅋㅋ질문이 재뮈업쏘요졸료가지고 ㅠㅠ 주댕이가 한껏 삐져나오고 눈이 감길라하는 댕댕이 한마리 여기있어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ눈썹너무 쳐지는거ㅜ아니냐곸ㅋㅋㅋ결국 잠에 못이겨 스르륵 스러지는 옹댕이  왜케 말라써 종이인형같음 ㅜㅜ 그렇게 옹강아지는 똥강아지같은모습으로 지성형의 궁딩토닥을 받아내었다 프듀는 애들좀 재워줘라 ㅜㅜ그저 똥깡아지의 모습벽에 기대어 세상모르고 잠든 댕댕이감히 민현 황제님 무릎을 차지하고 잠든 댕댕이구석에서 궁디내밀고 잠든 댕댕이아 진짜 요새 옹성우 왜캐 멍멍이 그자체임 ㅜㅜㅜ 머리통 한번만 쓰다듬고 싶게 생겼다고 아아아악 내손좀 말려줘점점 어려지는것같은 이기분은 뭔가요 고만 귀여워줄래재환이 특출입오물오물 ㅜㅜ 밥달라고 기다리는 댕댕이같음 ㅜㅜ네 실제로 배고파요를 입에 달고사시는분이니스프리팩발라당 까지는게 아주 그냥 댕댕이야댕댕댕댕 댕댕을 하도 말해서 댕댕탈트옴옹성우 점점 귀여워지냐고 왜 ㅜㅜ 혼자만 주째 순위 하락이라 맘아픈데 애가 너무 열심히하고 너무 귀여워서 더 맘아픔 ㅜㅜㅜㅜ 성우야 꼭 데뷔하자 댕댕아데뷔해
