제목,본문
아들만 키우시는 어 머님들 제가 진짜 몰라서 그러는데,다큰우리아들결혼 개월 앞둔 시점 명절인데 며느리쪽에서 안부전화안주면 정말 안서운하실 자신있나요며느리와 아들이 시댁에와서 밥먹는데며느리가  오빠 혹은 누구야 야  설거지좀해줘  이러면 기분 안상하실 자신있으세요명절당일 며느리만 안오고 우리 아들만 덩그라니 온다면여러분 진짜 괜찮아요죄송해요 진짜 몰라서 여쭤보는거라 
성수 커플 이 거 벌써 년이냐,조카 안믿김 
와 유명 커플 유튜버 헤어졌대,그건 바로 성수커플 미쳤나봐 진짜  이게 맞아 동영상 열심히 잘보고 있었는데 와 충격이다 이게 뭐야 왜 헤어져 안돼 아아아아앙 이게 뭐냐고 몰카였으면 좋겠다 미친 유튜브 성수커플 이수은 이성현  
요즘 다 그런가요,시댁가면 남자들전부 아버님 남편  아주버님네 밥숟가락 내려놓고 딱 일어나서 가시거든요다른집도 다 이런가요아니뭐 설거지하구 이런거 어머님이 나이가 더있으시니 저랑 형님이하는거 불만없고 손이빨라서 금방 끝나는데명절 내내 남자들은 티비보고누워있고잠자고 보다보니까 어다들이런건가 싶어서요친정와서도 누워서잠만자고 시댁가서도 누워만있고남편네는 다그렇더라구요저희집은 제가 어디 숟가락만 내려놓냐고 밥그릇이라도 담구라고하거나 설거지하라고 오빠한테 뭐라해서 밥먹고 딱 일어서는거 안하거든요그래서인가 남편이 여자가할일 어쩌고저쩌고 하는데 그게 보고자라서 그런건가 싶기도하고요다들 시댁가면 이러나요 
 되기  되기 추반,키로추키로반키랑 뭐 골랐는지 말해줘난 닥전뷰티톡 개말라
최대한 멀리하고 싶은 멋 없는 시누,쌓이고 쌓여 너무 싫은 감정을 어디다 터놓을 수도 없고익명의 힘을 빌려 이렇게나마 털어내봅니다천안 아산 세상 사는 우리 시누 결혼전 첫 만남근데 이는 딸 낳게 생겼다 결혼 후에도우리 동생은 고기좋아해서 원래 아들낳는건데 올케가 딸낳는 상이라 딸일거 같애 시모생신상 겸 집들이에서시매부가 전이 다양하고 맛있다고 우리도 명절때 이렇게 부치면 좋겠다고 칭찬하자우씨 그럼 니네엄마가 난리나지 하며 갑자기 시모와 발끈우리 형님이는 이런 아기자기하게 차리는거 말고 맛있고 큼직하게 잘한다생신상 차린 내 칭찬은 없음 결혼을 일주일 남기고 정신없는 상황내가 갈 친구는 많은데내가 좋아하는 가수라 꼭 올케랑 이 콘서트 가고싶어서 특별히 같이가자고 하는거야 축의금 만원내 형제들은 몇 백 단위로 하고도 뭐 따로 바라는 것 없었음비교하고 싶진 않지만 형님은 신혼여행 선물로 시매부 명품 지갑과 자기 아들 가방 사오라고 함 어머님은 따로 만원짜리 명품가방 해드렸는데 자기도 받고싶은 티 내는데 그냥 모른척 함 시가 식구들 외식 모임에서매번 우리쪽에서 비용부담 할때는 투쁠한우만 고집하던 형님이이제 반반내자 하니 돼지갈비나 먹자고 입튀튀그마저도 자기들은 수입산으로 먹을테니 돈 따로 내자며질려버려 그냥 드시라하니 나 정말 한돈 먹어도 돼 명절 전날 시간씩 전부치는 상황친정집에 친척분들이 오셔서 전 다 부치고 잠깐 들려 인사드릴 생각이었는데이후 일정 물으시더니 우리아들 힘든데 그냥 낼 가라 시전화나는거 참고 좋게좋게 남편 데려갈 생각도 없지만 그렇게 말씀하신거 서운하다 하니어머님 형님께 뭐라 전달하셨는지는 모르겠으나형님 나에게 너는 전도 그것밖에 안부치면서 힘들다 하지마라전 부치는게 힘든게 아니라 괴롭히지 못해 안달난 사람들처럼 구는 너희들이 힘든거다 명절 당일그렇게 욕하는 본인 시댁에서는 아침일찍 탈출해서 올라오면서항상 나 차가 너무 막혀서 늦을 것 같은데 꼭 일찍 가야돼 라고 말함 저 말 하고는 시간은 더 걸림저 말도 웃긴데 저것 마저 내 남편에게만 물어봄내내 일하고 시달린 나에 대한 배려는 없음 이번 명절그렇게 얼굴 까먹겠다며 기다리라더니 봐도 인사도 없고보자마자 형님이 시조카 옆구리를 쿡 찌르니 시조카는 눈치도 없이사양 좋은 걸로 태블릿 하나 사고 싶은데옆에서 형님 왈 한 만원이면 사지용돈도 매번 챙겨주는데 염치란게 있는 사람들인지 모르겠음 내 남편이 형님에게 큰 빚을 져서 잘해야 한다고 함이유는 어려서 반찬도 양보했고 길 다닐때 손도 잡아줬기 때문이라고 함 이런 논리라면 우리 동생은 나 빌딩 사줘야 함 난 그냥 동생이 잘살길바라고 더 해주고 싶은 마음뿐인데 우리 형님은 본인 동생한테 어떻게든 뜯어내려고만 함  이해안됨 사돈어른끼리의 선물 교환못난 딸이 좋다하니 지원해서 결혼은 시켰는데 아무것도 안보태준 시댁은둘만 잘살라 못하고 이거해달라 저거해달라 며느리를 일꾼으로만 보니속상하지만 그래도 잘 봐달라 최상급 선물로 준비해 보내심그런데 이번 선물은 시누가 준비해서 보냈다 함시모가 계속 너네가 사과를 늦게 찾아가서 사과가 어떨지 모르겠다 하는데 기분이 쎄해서친정 도착하자마자 상자를 열어보니 사과가 다 썩고 멍들어 있음직장에서 직접 과수원 가서 딴거라고 그렇게 자랑하더니  이러려고 그랬나 너무 화가남 내 생일가족끼리 식사나 하자며 고기구워준다고 어머님 아버님 모시고 천안 아산으로 운전해서 오라함너무 너무 상식밖의 말과 행동들을하고센스없고 눈치없는 행동과 말을 많이 하는데본인은 엄청 어른처럼 잘 하고 있다고 생각하는 것 같아 너무 소름돋고 싫고 이상함말로만 가족 가족 하지 말고 진짜 배려란 걸 하고 역지사지란걸 좀 했으면 좋겠음지금 마음으로는 평생 안보고 싶음 하 너무 힘들어요 진짜멀리하고 싶어요 저런 사람이 내 시누고 형님이라는게 창피하고 싫습니다 너무너무 
있지 아디다스 모델 됨,저번에 아디다스 레깅스 입고 안무영상 찍은거 너무 잘 어울려서 광고 소취했는데 진짜 됐어 댑악있지 잇지 믿지 예지 리아 류진 채령 유나
이쁜 신입과 비교되요,직장인 신입입니다저보다 이주뒤에 신입으로 들어온 여자동료가 키도 크고 머리도 길고나이도 어리고 엄청 하얗고 엄청 청순이뻐요저는 키 평범하게 이고 몸무게도 평범하게키로고 외모도 평범하고 헤어스타일도 평범해요평범녀입니다문제는 회사 상사분들이 차별을 심하게 하는것같아서 마음이 우울합니다제가 겪은 차별을 생각나는대로 적어볼게요점심식사제가 신입으로 들어왔을땐 점심식사 회사선배들이본인들이 먹고 싶은거 정했어요그런데 이쁜신입이 들어오고나선 신입에게 뭐 먹고싶냐고 물어봐요 무거운것 들기저도 겉으로 보면 말라서 힘없게 생겼어요그래도 회사비품박스 무거워도 들고 그랬는데이쁜신입이 들려고 하니  그거 다른 남자사원이하면된다고 하지말고 다른 사소한거 시키더라구요탕비실 청소탕비실은 청소하시는분말고 직원들이 청소해요직원말단들이 하니 저와 이쁜신입이 주로해요사실 많이 할건 없지만제가 혼자하고 있으면 아무도 안도와줘요그런데 이쁜신입이 혼자 하고 있으면 누가 꼭 가서같이 하더라구요아니면 이쁜직원이 청소한줄알고 칭찬해요이러다보니 탕비실청소 번갈아가며 하는데도전 소외되서 이쁜신입만 많이 하는것처럼 보이나봐요그래서 이쁜신입이 탕비실 혼자 청소하는걸로 생각하는 상사도 있어요실수같은 실수를 해도 내가하면 소리지르고 혼내고이쁜신입이 하면 넘어가는 경우도 있어요이밖에도 자잘하게 많은데막상 쓰려니 생각이 잘 안나네요묵묵히 내일만하면 되겠지 하지만현실은 이쁜신입만 이뻐하는것 같아서 속상해요 
헤어지고 나니까 알겠다,워낙 일이 바빠 연락이 잘 안 되어도그만큼 능력있는 사람이니 당연한 거겠지 했고주말마다 가족 모임에 행사에 바빠도집안 사람들끼리 화목하고 좋아 보인다 여겼고뭐하는지 왜 연락이 안 됐는지 물을 때보고 싶다는 말이야 되묻는 걸 애교라며 좋아했고다투기라도 할라치면 조용히 피해버려도화내고 막말하는 것보다 그 편이 낫다며 이해했고말로는 다 해 준다며 실제로는 한 게 없지만마음이라도 말이라도 예쁘다며 칭찬만 했는데언젠가부터 너한테 연락이 오면 숨이 가빠지더라분명히 기다리던 연락인데 전화 받기가 망설여지는 거야헤어지고 나서야 가스라이팅 당했다는 걸 알았다사랑에 눈멀어 몰랐지만 내 몸이 방어기제를 만든 거더라너를 좋게 보려 애썼던 나의 마음을 넌 이용했고네가 하는 모든 게 당연하다는 듯 나를 통제하려 했지어쩌다 의문을 제기하면 침묵으로 답을 거부하거나정작 답은 안 하고 내가 싸움 건다며 전부 내 탓으로 돌렸어결국 너와 잘 지내려면 난 네 말을 거역하면 안 됐고조금만 불만을 말해도 곧바로 이럴거면 끝내라 협박했지온갖 사탕발린 말로 결혼하자며 흔들어 놓고막상 관계에 대해 진지한 얘기를 꺼내면 기다리라는 말만앞뒤 다르고 겉과 속이 다른 너를 상대하느라내 머리가 뒤엉키고 마음이 상처투성이 되는 걸 몰랐어무슨 말을 해도 논리적으로는 설명을 못 하니까무조건 날 비난하고 말하기 싫다 입 닫는 걸 눈치 못 챘어연인 사이 자연스러운 것들을 바랄 뿐인데도철이 없다는 둥 내가 과한 욕심내는 것처럼 몰아갔는데누가 봐도 바람둥이로 보이게끔 믿음을 못 주면서그조차도 내 문제라고 내가 죄책감 들 정도로 힐난했는데안지 얼마 안 된 사이였다면 속지도 않았을 거야그 오랜 세월 알고 지냈는데 설마 내게 쓰레기짓을 할까설마가 사람 잡는다고 내가 너를 너무 믿었더라네 외로움 채우는 데 오랜 세월 따위 무의미했던 줄 모르고시간 약속 매번 어기고 말도 안 되는 핑계를 대도그마저도 이해하고 배려하려 노력했던 내가 너무 아까워스트레스 받고 상처 받고 아프고 힘들다는 너라화가 나도 너 걱정부터 하고 챙겨주려 했던 내가 우스워아픈 척 힘든 척 하면서 다른 사람 마음 이용하지 마사람 갖고 놀아도 용서될 만큼 너 그렇게 잘나지 않았어
결혼 후 형제자매 연 끊고 사시는 분 있나요,안녕하세요대 후반 여자입니다오랜 고민이 있어 이렇게 처음 판에 글을 쓰게 되었네요각설하고 본론부터 들어가겠습니다저는 연년생 여동생이 하나 있어요어렸을 때부터 여동생과 사이가 정말 안좋습니다다들 자매면 사이 좋을 거라 생각하시는데 저희는 아주 어릴 적부터 성격이며 취향이며 다 다릅니다그래서 서로를 전혀 이해하질 못해요 둘다 서로 이해하고 싶어하지도 않구요연년생이라 그런지 부모님의 사랑을 서로 시기질투하며 컸던 것도 사이가 안좋은 이유 중 하나이겠네요그냥 데면데면한 사이도 아니고 정말 만나기만 하면 불같이 싸웁니다 저는 오래 전부터 나와 살고 있어서 한두달에 한번씩 본가에 가곤 하는데 그때마다 정말 미친듯이 싸워요가족 싸움 다들 그렇겠지만 이유는 뭐 하나 찝을 수 없이 가지각색이구요부모님도 어릴때나 말렸지 지금은 포기하셨습니다나이먹고 이렇게까지 싸우는 거 참 창피하기도 하지만 동생이랑 있으면 잔잔했던 제 마음에 정말 불같이 화가 들끓습니다 너무 오랜만에 동생을 만나면 갑자기 화가나는 제가 스스로 놀랄정도로요왜 다들 사회생활 하시다보면 저사람이랑 참 안맞다 보기만 해도 화가 난다 싶은 사람 있잖아요 저한테는 그런 사람이 운나쁘게도 여동생입니다저는 대인관계 원만하고 친구도 많고 사회 생활도 잘하는 편인데 동생만큼은 그게 안돼요만나고 있는 남자친구가 있습니다 결혼까지 생각하고 있어요남자친구는 제가 여동생과 사이가 안좋다는 걸 압니다이번 명절에 조만간 서로 가족들도 만나보자는 이야기가 나오고 있어요남자친구는 오래 만나서 저랑 여동생 사이를 이해하는 편인데 남자친구 가족들은 어떻게 생각할지 너무 걱정돼요상견례 자리에도 마음같아선 여동생도 초대 안하고 싶어요가서 무슨 얘기를 하고 그 자리를 엉망으로 만들지 벌써 무섭거든요 저도 그렇지만 걔도 저만 만나면 사람이 진짜 그냥 미칩니다부모님은 하나밖에 없는 동생언니한테 왜 그리 모질게 구냐고들 하시는데 저는 그 얘기 들을 때마다 그러게 왜 원하지도 않은 동생 낳아서 이렇게 내 마음의 평생 짐을 짊어주지 싶을 정도에요물론 속상하실까봐 입밖으로 내뱉진 못합니다결론은 저같이 형제자매랑 사이 안좋으신 분들 상견례때 어떻게 하셨나요형제자매 결혼식엔 초대 하셨나요전 결혼식때도 동생이 안왔으면 좋겠어요 가뜩이나 신경쓸 거 많은 날 걔까지 식장에 있으면 마음이 너무 시끄러울 것 같아요시댁식구들한테는 어떻게 말씀하시나요형제관계 물어볼텐데 피할 수 없는 질문 같아서요안좋게 보실까 너무 걱정돼요 게다가 자매라하결혼을 다 떠나서 성인 분들 중에 형제자매 아예 안보고 사시는 분들 있으신가요부모님 돌아가시거나 부모님께 문제가 생겼을 땐 보고 살아야할텐데 어떻게 대처하셨나요제 주변 친구들은 자매끼리 뭐 그렇게까지 하냐고 나이먹고 나이값 못한다고들 하는데 저도 사이좋은 형제 자매 너무 부러워요 근데 누가 나이먹고 핏줄하고 갈등상황 만들고 싶어서 만들겠나요관련 경험 있으신 분들 진지하게 조언 부탁드려요
장원영 예쁘다고 생각한 적 없는데,살짝 그냥 여돌쪽에 관심이 없어서얼마전까지 장원영하면 그 프듀때 완전 애기때로기억하고 있었거든 비율이나 끼는 좋은거알고 있었는데 애기때 얼굴로 기억을 하니깐 그냥 예쁘고귀엽다고만 생각했는데 그래서 사람들이 장원영 개예쁘다진짜 여신이다 이럴때 그냥 팬이 많은가보다 이랬어 근데이 짤보고 진짜 개충격받아서 막 찾아봣는데 진짜 개개개개개이뻤음 이게 무슨 먹금짤이얐는데 진짜 개이뻐서 그런데요론 느낌으로 성숙한 애기때 사진 말고 최근 무대 움짤들같음거 댓글에 달아줄수 있을까  진자 나 너무 뒷북같긴한데 뒤늦게 빠지는중임 
명절 후 싸웠어요,댓글들 전부 다 잘봤습니다객관적인 이야기들을 들어보고싶었습니다쓴말들 정말 많았는데 긴글인데도 읽어주시고 정확히 짚어주셔서 감사합니다 제가 못보는 상황을 보게됬습니다제가 호구같이 군다는 사실도 처음 알았습니다좀 충격이였지만현실파악 제대로 하게 해주셔서 진심으로 감사합니다 
❤️엔시티  초동 만❤️,영웅때 초동 만에 중국공구 만 이번엔 초동 만에 중국공구 만 금컴백추석연휴로 인해 송장 일동안 안 찍혀서 반영 안된 곳도 수두룩  그런데도 만 이뤄낸 칠프들 넘넘 짱이다  더 대박나자 아직 시간 남았따   역대 초동소방차 장무한적아 장체리밤 장레귤러 장사이먼세즈 장슈퍼휴먼 장영웅 장 
공부 잘하는 현 아이돌은,백지헌이 갑인데 장원영은 왜 껴있는지 모르겠음 백지헌처럼 모고성적  이런 것도 아니고 검정고시 점 그냥 웃김 
제발 이런 것까지 잘하지 마,특히 이거 산이가 공중에 떠 있고 윤호가 홍중이 목마 태워서 편안히 앉아 있음 나 진짜 잘못 본 줄 알았어 에이티즈는 뭐든 열심히 해서 좋은데 잘하기까지 해서 진짜 웃김 오늘 제시의 쇼터뷰 나왔는데 너무 웃겼어 제시님이랑 티키 타키 오지고 애들 예능감   겁나 웃음쇼터뷰 시간 날때 봐봐  이건 일본 팬미팅이였나아무튼 트윈타워  요즘 민기 돌아오니깐 케미가 대단해짐 윤호 민기 없이 어떻게 살았나 싶을 정도로 둘의 케미 귀엽고 이뿜 에이티즈 예능 많이 불러줬으면 좋겠다이번주 토요일 놀토에 우영 산 나오니깐 많이 봐주고우리 에이티즈 데자부 활동 아직 안 끝났어 더더 많관부 
오징어 게임 이 거 인 듯,짤한방으로 정리됨 
우왕 수빈 엔시티 이 거 모양,키가 똑같당 
돈 없는 집 안에서 제가 할 수 있는 일이 무엇일까요,다들 조언 감사드려요 방탈 죄송합니다 여기가 제일 화력이 센거같아서요 부디 조언 부탁드립니다저는 이제 살이 된 갓성인입니다 전형적인 돈 없는 집의 표본이구요반 년 전부터 알았는데 아버지가 사업장을 옮긴 후로 부터 돈을 단 한 번도 들고오지 않았다는 사실을 알게 되었습니다 그래도 용돈같은 부분은 적어도 만원씩은 매달 꼬박꼬박 주셨기에 엄청나게 가난하지는 않다고 느껴져 아무 생각없이 대학생활하며 살아왔는데요 몇 달 전부터 어머니가 제 명의로 만원 보험을 멋대로 걸고 제 통장에서 그 돈이 그대로 나가기 시작하더니 어머니가 보험설계자셔서 실적 내시려고 그런듯합니다 매달 주시던 용돈도 끊겼습니다 본래 대학생활을 하며 알바로 만원정도 벌던 저에겐 솔직히 매우 버거웠는데 갑자기 오늘 또 핸드폰 요금 나가는 통장을 네 계좌로 돌릴테니 이제 성인됐으니 니가 해결하라고 하십니다 원래 성인이 되면 이렇게까지 모든 돈을 스스로 해결해야 하는 건가요 저도 성격이 유순한 편이 아니라 매번 그런 돈얘기가 나올때마다 소리지르고 싸웠습니다 그런데 돌아오는 말은 돈도 안 벌어오는 니 아빠한테나 그렇게 소리지르라고 말하십니다 그래서 아버지한테 말해보려고 했는데요 어머니한테 계속 구박받고 돈 못 벌어온다고 꼽먹고 그러니까 어제부터 계속 살기싫다고 대놓고 그러시더니 오늘은 울기까지 하셨습니다 솔직히 아버지가 저에게 정말 친절하고 잘하셔서 전 아버지가 좋거든요 돈 못 벌어온다는 사실이 정말 짜증났지만 아버지 눈물을 보니 돈 얘기도 못 꺼내겠습니다 그런데 어머니 입장도 이해가 돼서 진짜 애증 그 자체로 보입니다 등록비도 이제 저보고 조금씩이라도 부담하라고 하십니다 재난지원금도 이번에 신청한 국가장학금도 생활비로 쓰게 자꾸 달라고 하시고 추석때 받은 용돈도 절반정도 줄 수 있냐고 그러시는데 제가 이 상황에서 도대체 뭘 해야 이런 돈 없는 나날이 사라질 수 있을지 모르겠습니다 제가 지금 무엇을 해야 할 지 부디 조언 부탁드리고 긴 글 읽어주셔서 감사합니다지혜로운 어른 분들 조언 부탁드려요 
흙수저 우울해서 어떻게 살죠,제목 그대로 흙수저라 너무 우울해요살 대학교 학년인데 집은 계속 월세에다가 모아둔 돈도 없어요집에 아픈 한살차이 남동생 그리고 엄마 이렇게 사는데엄마는 맨날 일이 힘들다너가 취업하면 엄마한테 한달에 용돈 얼마씩 줄거냐이러시는데제 로망은 결혼해서 아이 하나 낳고 잘 사는 거였는데아마 결혼자금은 커녕 제대로 된 적금 하나 못 들어 놓을 거 같아요엄마가 나이가 드셔서 일을 못 하시게 되면제가 엄마하고 동생까지 책임을 져야 될텐데모아둔 돈도 없고 늙은 엄마와 아픈 동생까지 딸려있는 여자를 데려가고 싶을까요 열심히 살아 보겠다고 알바란 알바는 다 하고 장학금은 다 받으면서 살고 있는데나아지는게 하나도 없어요너무 그냥 우울해요  
한 타투이스트가 공개한 미 성년자와의 타투 상담,국내법상으론애초에 의사자격없으면 타투자체가 불법 
제가 종년인가요 객관적 판단 부탁드립니다,친구와 명절대화중 제가 자처해서 종년짓을 한다는데 이게 맞는 얘긴지 객관적 판단좀 부탁드립니다 모바일이라 다소 보기 불편하시더라고 양해 부탁드리고 음슴체 사용하겠습니다 본인 대 초반 이제 결혼 년차친정집은 걸어서 분거리 옆단지 시댁은 차로 시간거리 지방임남편은 평소 친정에도 자주가고 오히려 너무 잘해서 우리부모님이 멀리계신 사돈어른에게 죄송하다할 지경이라 논외로 치겠음 결혼후 첫 명절은 어머님 입원 및 코로나로 못찾아뵜고올 설은 작은형님 늦둥이 출산으로 인해 다들 조심하잔 분위기로 안모였음 명절은 이번이 처음임남편 남녀중 늦둥이고 아버님 일찍 돌아가셔서 어머님 혼자 키우셨음 우리부모님하고 나이차이 상당하시고 아직 정정하시지만 연로하심  큰 아주버님도 이 넘으셨고 큰시조카랑 나랑 몇살차이 안날정도임 식구들이 늦둥이 막내 며느리라며 이 넘은 나이에도 애기처럼 봐주시고  참 예뻐해주시고 아껴주심결혼할때도 남편이 대출없이 자가 집해오고 혼수도 거의다 갖춰있고 형님들도 지원많이해주셔서  인테리어 조금과 예단한거밖에없음 오히려 어머님이 예물 또한 넘치게 두둑히 해주심 항상 감사하고 멀어서 자주 찾아뵙지 못하니 안부라도 자주 묻고싶지만  어머님이 아직  둘째아주버님 내외와 크게장사를 하시는 바람에 바쁘시면 통화도 잘안되고 스마트폰 사용도 어려워하셔 카톡 문자도 못하시고장사끝나시면 주무시기 바쁘셔서 그마저도 어려움종종 택배보내드리면서 편지쓰고 형님이나 시조카들 통해서 안부묻는게 다임 어머님은 결혼 직후 한번 아버님 제사때한번 이번명절이 딱 세번째 뵙는거고  더 멀리 사시는 손윗시누는 결혼식 이후로 본적이 없음친정 부모님도 우리부부는 자주오고 자주보니 이번 명절은 시댁에서 느긋히 보내고 집에 오지말라하심 우리집 제사 안지내고 부모님과 내 혈육 놀러감 간단하게 식구들끼리 차례만 지내실거라고 하시길래 어머님 형님 다 전날까지 장사하시느라 힘드실거 같아 음식미리 준비해서 토요일 새벽에 내려감나도 자영업하고 신랑도 사업하는지라 시간 조율이 자유로운편이라 시누이 오는거까지 다 보고 어제 올라옴 물론 우리집아니니 편치않고 여러 식구 모이니 힘든것도 있었지만 그래봐야 일년에 두세번 뵙는건데 어떠냐 싶고  설거지라도 한다 치면 아가 아서라 사람 손이 몇갠데 애기가 일일하냐며 말리시고내가 부득불 우겨서 해놓으면 아가가 손도 야무지고 아주 똑소리난다며 이거좀 봐라 우리 애기가 이렇게 깔끔하고 똑순이라고 칭찬해 주시는 어머니와서투른 솜씨지만 해온 음식들 보며 음식 정갈하다고 칭찬해주시는 다른 식구들보며 솔직히 좀 망하고 제입에도 아닌것도 있었음그리고 둘째형님이 잠시 입원하셔야 하는 상황인데 늦둥이 시조카를 어머님께 맡기기가 가게일도 그렇고 어머님 연세도 그렇고 마음이 안놓여서 수술도 자꾸 미루고 걱정이라는 소리에제가 열심히 한번 봐보겠다고 시조카 데리고 올라옴 어짜피 내 가게야 직원들한데 잠시 맡기면되고우리 엄마 애기데리고 왔다니까 바로 애보러 온다고 오셔서내가 안을 기회도 없음 애기 계속 예뻐하시며 얼마만에 안는 애기냐고 너희도 빨리 낳으라고 내손주 안고싶다고 잔소리 하시는 바람에 귀에서 피날뻔함몸은 피곤했지만 마음도 좋고 뿌듯하게 기분좋게 보낸 명절이였음어머님이 또 이것저것 싸주셔서 보따리 풀어보는데삐툴삐툴 쓰신 글씨로 아가 예쁜옷 사입어라 지금이 제일 예쁠때다 쓰여진 봉투가 들어있는거보고 우리 할머니 생각도 나고 정말 감동해서 펑펑움 형님이 싸주신 조카짐에도 봉투가 들어있음 애기보는동안 집안일하지말고 다 사먹으라고 지원받고 그런걸 다 떠나서 따뜻하신 분들이고 정말 마음에서 우러나서 잘하고 싶음이런 상황에서 친구가 명절 어떻게 보냈냐어제 왜 가게문 안열었냐며 오늘은 나오냐고 연락이옴 이차저차해서 시누도 보고올겸 넉넉히 있다왔다 이런저런 사정으로 시조카를 내가 보고있다 당분간은 가게는 잠깐만 들려야겠다하고 얘길하니  나보고 종살이를 자처한다고너네 부모님한테나 잘하라며  쌔빠지게 키워논건 너의부모님인데 남에집 종년이 다됐다고 후려치기를 시전 처음엔 자랑이 아니라 내가 정말 감사해서 그런것이다 항변하려 이런 저런 얘기를 할수록너 그거야 말로 노예근성이다 막말로 너희 시댁에서 너 돈으로 휘두르는거 아니냐고아주 가스라이팅을 완전 당했다며 내 생각해서 하는 소리라고 정신차리라고 난린데이제보니 친구도 아니였던거같고 앞으로도 안할예정이지만 대화시점에 친구였으니 친구라고 표현한거임 도저히 말이 안통해서 그래 니 맘대로 생각해라설사 종살이 한들 난 적어도 품삯은 받는데 넌 뭐냐 하고 끊었더니아주 개거품을 물고 너 나중에 내말안들은거 후회할거라는둥 계속 헛소리로 발광하는데 미친인간이구나 너랑친구로 지낸 내가 이다 하고 차단하려다문뜩 나 뿐만아니라 우리시댁 내 남편까지 싸잡아 후려치고 모욕한거같아 아주 부글부글함내가 한소리 더하고 싶어서 죽겠음 답답한 마음에 긴글 주절주절 써봄 여러분들이 보기에도 제가 자처해서 종살이 하는건가요당연히 꼬인인간 아니고선 나한테 잘해주면 잘하고 싶은게 사람 도리 아닌가요  며느리 도리 이런걸 다 떠나서요저는 진심이긴 하다만 설사 친구 말처럼 제가 돈때문에 가식 떠는 거라쳐도저정도로 잘해주시는 시댁이면 일년에 두어번 눈딱 감고 최선다해 잘할수도 있지않나요  마지막으로 두서없는 긴글 읽어주셔서 감사하고 이제 조석으로 쌀쌀하네요건강관리에 민감한 시기에 모두 건강하시고 댁네 행복한일만 가득하시길 바랍니다 
유년시절 부모님께 많이 맞은 상처 때문에 애기 낳기 싫으신 분 있으세요,어린 시절엄마에게 너무 많이 맞았던 것 같아요그 시절에는 다 맞고 컸을까요 제 나이는 살이예요그 때의 제 마음속에 상처가 남아서 없어지지가 않아요한번씩 저에게도 폭력적인 성향이나 생각이 들때도 엄마가 너무 원망스러워요더 바르고 올바르게 클 수 있었는데 하도 맞아서 내게 이런 모습이 생겼나 싶어서요제가 기억하기로는 초등학생때부터더 어린시절은 기억이 잘 안남대학생때까지 맞았는데 성인이 되서도 맞았음제 잘못이 생기면 거기다가본인 우울증으로 나오는 히스테릭을 더해서 저에게 푸는 식으로회초리로 때리다가 손으로 마구잡이로 때리다가 머리채도 잡히고발길질을 당한 적도 있어요 한번 맞으면 최소 시간이였어요거의 평균적으로 일주일에 한번은 맞으면서 욕설을 들은 것 같아요아 같은 년아 등등살얼음판 걷는 것처럼엄마 심기를 건드릴까봐 조마조마 눈치보면서 살았던 것 같아요그래서 거짓말도 엄청 늘구요 안된다 안돼 라는게 너무 많았어요저 공부는 못했지만 그래도 나쁜 짓하면서 살진 않았어요제가 뭘 그렇게 잘못했을까 왜 그렇게 때렸을까할머니랑 닮았다고 얼굴도 재수없다고 하고근데 또 없는 살림에 아버지는 타지 계시고 혼자서 남매 키운다고안먹고 안쓰고 꾸역꾸역 힘들게 살았던 것그리고 기본적으로 자식이라고 사랑을 해준 것때문에 제 감정은마냥 미워할수도 없어서 힘들어요며칠전에 엄마에게 울면서그 어린애를 어디 때릴때가 있어서 본인 분 풀릴때까지 때렸냐고 따졌더니기억안난다고 하고 나중에는 내가 우울증이 심해서 그랬던 거니 아빠를 원망해라네요너도 잘한거 없고 니가 잘못해서 때렸다애가 잘못하면 얼마나 잘못했을까요 발길질 당할 정도로 잘못한 게 뭐있을까요대후반대초반이신 분들 궁금해요어릴적에 저만큼 맞으셨는지제가 유난인걸까요애를 낳으면 엄마 모습 닮아 그 애를 때릴까봐도 걱정이고그 애가 너무 소중해 금이야 옥이야 소중해서 왜 엄마는 이렇게 귀한 자식을 나를 그토록 때렸을까또 다른 상처가 올까봐 두렵습니다지금 감정이 격해져서 글이 문맥이 맞지 않더라도 이해바래요 
여자 연옌들 코성형,여자 연옌들 보면 그 콧구멍 사이에 코에서 인중 가는 지점에 무슨 그림자 같은거 졌다고 코성형이라 하는거 많이 봤는데원래 그런거 아녀 부끄러움을 무릅쓰고 내 사진을 찍어봤닼와씨 이케 보니까 살짝 무섭기는 한데어쨌든 저 부분이 살짝 그늘져 보이는거 보이지 내 코 개못생긴거 보이니까 성형 안했다는거 알겠지 그니까 저런 그늘 조금 있다고 코성형이라는건 점 에바라고 생각합니다물론 진짜 했을수도 있긴 한데 저런 그늘 있지만 어릴적 사진에서도 코가 개높은거 보면 아닌 사람도 많을듯나도 수치스러운거 안다그니까 나도 수술한 절개선이랑 그림자랑 다른거 아는데 그걸 구분 못하고 무조건 코에 선 비슷한거 있으면 성형이라 하는 애들을 보고 쓴 글이야
우리 집 막내 볼 사람,우리집 막내임 스키즈 막내소중하니까 조금씩만 봐 
